location,per change,abs change,avg,standard dev
outer space,151.432664756,140.933333333,93.0666666667,12.5351062576
mississauga ontario,1053.84615385,82.2,7.8,19.9071176551
bakersfield california,2223.52941176,75.6,3.4,12.721635115
keller,6625.0,265.0,4.0,14.9666295471
purgatory,inf,91.0,0.0,0.0
clearwater fl,inf,59.0,0.0,0.0
dallas,256.411605228,4224.46666667,1647.53333333,368.696779964
mia,322.653562654,6566.0,2035.0,436.615925805
on your screen,inf,74.0,0.0,0.0
monterrey nuevo león,107.978311387,92.9333333333,86.0666666667,29.0802720452
montgomery,719.270239453,420.533333333,58.4666666667,42.9493758847
south texas,inf,90.0,0.0,0.0
broken arrow ok,inf,76.0,0.0,0.0
カントー地方,89.5074946467,27.8666666667,31.1333333333,33.7912546214
houston ,223.234648346,4202.46666667,1882.53333333,419.706542982
mckinney texas,inf,67.0,0.0,0.0
worldwide,104.209645944,747.6,717.4,61.5703391794
lancaster,1188.13559322,280.4,23.6,37.4678528875
0/5,169.297484822,130.133333333,76.8666666667,43.7567010741
on the road to riches,inf,79.0,0.0,0.0
群馬県,-11.9291705499,-8.53333333333,71.5333333333,22.8323357446
montana,433.692722372,107.266666667,24.7333333333,30.5340611267
estados unidos,374.545454545,68.6666666667,18.3333333333,26.1295915689
milwaukee wi ,inf,57.0,0.0,0.0
vancouver bc,253.628419453,890.066666667,350.933333333,66.9641363385
bangkokthailand,-13.6157959687,-22.0666666667,162.066666667,58.0843830608
stockton california,inf,80.0,0.0,0.0
お花畑,1501.69491525,59.0666666667,3.93333333333,14.7171857213
toronto on canada,4076.47058824,138.6,3.4,12.721635115
guatemala ,19.2303475496,116.933333333,608.066666667,62.0220032641
stillwater ok,inf,287.0,0.0,0.0
the lou,inf,99.0,0.0,0.0
جدة,48.3516483516,17.6,36.4,30.3969296695
milano,inf,88.0,0.0,0.0
saudi arabia - riyadh,-8.8200238379,-9.86666666667,111.866666667,73.5688943931
guayaquil - ecuador,32.5768886235,72.7333333333,223.266666667,35.6004993723
on top of the world,213.636363636,156.666666667,73.3333333333,10.0906997885
los angeles,256.799093206,9213.26666667,3587.73333333,404.025323739
tampa fl,352.714932127,1039.33333333,294.666666667,60.646150377
новосибирск,83.7416481069,25.0666666667,29.9333333333,28.1341232117
north las vegas,inf,66.0,0.0,0.0
lawton ok,3736.53846154,129.533333333,3.46666666667,12.9710789408
jonesboro ar,inf,187.0,0.0,0.0
manchester,210.09382077,432.933333333,206.066666667,64.2188618883
sacramento california,217.269076305,108.2,49.8,31.5831178533
st louis ,548.990825688,997.333333333,181.666666667,59.860578755
الرياض,33.9962641468,206.266666667,606.733333333,150.868802459
in your mind,27.4365575579,49.7333333333,181.266666667,31.8673640091
baton rouge louisiana,2156.19834711,173.933333333,8.06666666667,20.5668557528
mumbai,55.5857847305,217.933333333,392.066666667,55.2913093432
los angeles ca usa,inf,90.0,0.0,0.0
q8,23.1838281744,24.4666666667,105.533333333,28.1942468521
grand prairie tx,1142.1875,48.7333333333,4.26666666667,15.9644048502
parisfrance,127.760736196,55.5333333333,43.4666666667,31.3238283456
evansville in,1155.28700906,254.933333333,22.0666666667,31.8610873777
bangkok thailand,30.5465625595,106.933333333,350.066666667,66.1003950232
eastside,174.562584118,86.4666666667,49.5333333333,31.1252666209
lake charles,inf,282.0,0.0,0.0
cuba,801.734104046,92.4666666667,11.5333333333,23.2231685081
united states of america,329.592376919,415.066666667,125.933333333,23.9233962658
michigan,313.452575157,3586.73333333,1144.26666667,236.1099932
pittsburghpa,1167.24137931,90.2666666667,7.73333333333,19.7466171505
in wonderland,1870.58823529,63.6,3.4,12.721635115
miramar fl,inf,76.0,0.0,0.0
aquí,282.075471698,39.8666666667,14.1333333333,23.4857876645
méxico distrito federal,51.6587677725,21.8,42.2,30.2879513999
find me,694.117647059,133.733333333,19.2666666667,36.4407586212
静岡,3.90281726544,10.0666666667,257.933333333,54.709495418
denmark,inf,57.0,0.0,0.0
right behind you,304.347826087,163.333333333,53.6666666667,22.3537220366
wilmington,815.15729266,570.066666667,69.9333333333,44.4394219384
monroe louisiana,inf,63.0,0.0,0.0
huntington wv,589.277899344,179.533333333,30.4666666667,32.9238852844
portland oregon,278.710337769,544.6,195.4,29.0374470871
pursuit of happiness,2019.26605505,146.733333333,7.26666666667,18.5273371595
gilbert az,inf,66.0,0.0,0.0
concrete jungle,2512.06896552,97.1333333333,3.86666666667,14.4677418955
glendale,3077.63157895,155.933333333,5.06666666667,18.9577307597
ohio,382.298666132,7623.8,1994.2,381.538324855
sunshine state,1105.10396975,389.733333333,35.2666666667,29.2517046037
beverly hills,4371.69811321,154.466666667,3.53333333333,13.2205227666
stamford ct,1720.38834951,118.133333333,6.86666666667,17.5075856575
where in the world am i?,inf,109.0,0.0,0.0
fayetteville arkansas,inf,108.0,0.0,0.0
lyon,inf,54.0,0.0,0.0
dammam,3.9603960396,2.66666666667,67.3333333333,35.0250703862
greece,1345.45454545,49.3333333333,3.66666666667,13.7194104182
london on,473.474470735,253.466666667,53.5333333333,22.3364176975
fort lauderdale,7962.5,339.733333333,4.26666666667,15.9644048502
ibague,-22.8740936058,-23.1333333333,101.133333333,26.3612510241
troy ny,inf,56.0,0.0,0.0
pine bluff ar,inf,59.0,0.0,0.0
lalaland,626.872246696,94.8666666667,15.1333333333,25.2213313597
bandungindonesia,-16.1165048544,-27.6666666667,171.666666667,55.757411067
purwokerto,-31.7191283293,-43.6666666667,137.666666667,44.5131690876
cedar rapids ia,inf,74.0,0.0,0.0
new jersey usa,inf,174.0,0.0,0.0
republica dominicana ,52.9484029484,28.7333333333,54.2666666667,29.144391494
minnesota usa,inf,116.0,0.0,0.0
the beach,inf,86.0,0.0,0.0
guadalajara mexico,460.810810811,68.2,14.8,24.6636034134
warren ohio,inf,64.0,0.0,0.0
東京都杉並区,138.095238095,40.6,29.4,31.9849964827
moore oklahoma,inf,51.0,0.0,0.0
fayetteville north carolina,inf,72.0,0.0,0.0
fort collins colorado,inf,59.0,0.0,0.0
mesa az,361.052631579,114.333333333,31.6666666667,34.2513584483
medan indonesia,-4.38108484006,-12.6,287.6,83.7717533938
reno nevada,3005.26315789,114.2,3.8,14.2182980697
in my bed,inf,80.0,0.0,0.0
cali☀,313.301662708,87.9333333333,28.0666666667,30.2907393256
mount olympus,inf,60.0,0.0,0.0
prattville al,inf,54.0,0.0,0.0
神奈川県川崎市,-6.54205607477,-7.0,107.0,15.4531550177
victoria bc canada,inf,73.0,0.0,0.0
pretoria south africa,332.432432432,49.2,14.8,24.7203020478
aqui,45.5900750626,583.066666667,1278.93333333,174.814365034
detroit michigan,250.257731959,323.666666667,129.333333333,20.908265245
la baby!,1212.5,51.7333333333,4.26666666667,15.9644048502
la,151.670367725,62016.8,40889.2,3606.79054378
west java,-6.25,-3.86666666667,61.8666666667,66.2820907603
colombia ,-7.63859500635,-24.0666666667,315.066666667,140.131588952
bristol,2109.09090909,154.666666667,7.33333333333,18.7106624385
bronx,293.698060942,848.2,288.8,65.9557427371
anchorage alaska,3211.32075472,113.466666667,3.53333333333,13.2205227666
marte,234.061135371,35.7333333333,15.2666666667,25.3757539571
jersey,276.251390434,6953.8,2517.2,545.448708252
ksa,25.7721656977,189.133333333,733.866666667,177.416972757
anywhere and everywhere,inf,109.0,0.0,0.0
大阪府,-3.27050997783,-11.8,360.8,56.611188529
co,144.795152964,33601.0666667,23205.9333333,4978.53091406
austin texas ,2706.4516129,111.866666667,4.13333333333,15.4655171987
sukabumi,9.39060939061,6.26666666667,66.7333333333,22.2574831361
ca,229.399727645,63002.8,27464.2,4099.79472982
la la land,64.7798742138,206.0,318.0,96.3742704253
champaign illinois,inf,51.0,0.0,0.0
pigfarts,2534.7826087,194.333333333,7.66666666667,19.6491447368
wherever god takes me,2223.52941176,75.6,3.4,12.721635115
fort mill sc,inf,57.0,0.0,0.0
oklahoma city ok,669.547325103,325.4,48.6,34.1775754943
san bernardino,971.428571429,145.066666667,14.9333333333,24.8232865583
norman ok,4262.59541985,372.266666667,8.73333333333,22.8865802503
ct,402.321801718,3465.6,861.4,219.272676516
dark side of the moon,989.686098655,147.133333333,14.8666666667,37.9383125027
new york ny,606.8621335,3242.66666667,534.333333333,65.8621455938
minding my business,inf,84.0,0.0,0.0
in bed,inf,67.0,0.0,0.0
woodbridge va,652.225519288,146.533333333,22.4666666667,33.0471716726
santo domingo,34.1090843742,253.066666667,741.933333333,110.979557677
washington dc usa,inf,80.0,0.0,0.0
home ,832.967032967,252.666666667,30.3333333333,50.3873881928
fortaleza,-25.4044337927,-28.2666666667,111.266666667,49.0285177785
兵庫県神戸市,71.1409395973,21.2,29.8,32.7825156651
méxico city,61.5925058548,70.1333333333,113.866666667,20.8961453117
boston ma,486.817621343,2895.26666667,594.733333333,127.651330672
the world,78.7973331054,1229.13333333,1559.86666667,356.557777771
chicago ill,314.059283656,1017.13333333,323.866666667,93.6168550826
louisiana,407.594936709,1932.0,474.0,148.00765746
الكويت,56.347230865,120.733333333,214.266666667,79.7600289758
cilegon,115.492957746,27.3333333333,23.6666666667,36.6563621884
florence alabama,inf,79.0,0.0,0.0
liverpool,47.7079796265,56.2,117.8,26.9349834478
minnesota ,358.52749301,256.466666667,71.5333333333,34.3023160864
huntsville,904.658385093,582.6,64.4,56.948865953
miami beach florida,inf,53.0,0.0,0.0
ottawa canada,338.661710037,182.2,53.8,28.1690137089
mi casa,36.1978111066,59.5333333333,164.466666667,20.6425665932
keller tx,inf,98.0,0.0,0.0
lala land ,inf,74.0,0.0,0.0
sacramento ca,248.48,517.666666667,208.333333333,49.9662108051
atlanta,353.640736441,8528.4,2411.6,488.013633689
puebla ,88.583218707,214.666666667,242.333333333,88.1496202803
spain,120.776906629,225.933333333,187.066666667,50.6431524383
quetzaltenango guatemala,83.7175792507,38.7333333333,46.2666666667,33.0685483336
manhattan kansas,inf,81.0,0.0,0.0
in the kitchen,inf,83.0,0.0,0.0
pasadena tx,1131.34328358,50.5333333333,4.46666666667,16.7127363276
brasilia,387.73006135,42.1333333333,10.8666666667,21.7466217044
seattle wa usa,inf,79.0,0.0,0.0
bowling green,1937.16216216,573.4,29.6,33.6210251678
lafayette in,inf,118.0,0.0,0.0
san jose california,334.508816121,88.5333333333,26.4666666667,28.51401215
são paulo ,4.39321444106,13.4666666667,306.533333333,192.398844995
madrid españa,158.220502901,54.5333333333,34.4666666667,28.5069971917
portland or,335.905561718,1413.26666667,420.733333333,49.7734422715
denverco,inf,67.0,0.0,0.0
your heart,24.601303564,118.266666667,480.733333333,106.196338083
hogwarts ,92.1813403417,93.5333333333,101.466666667,19.7107979431
va,262.804087349,13510.9333333,5141.06666667,646.425192028
compton,432.258064516,473.466666667,109.533333333,39.0296753196
torrance ca,inf,57.0,0.0,0.0
iowa city,13811.7647059,469.6,3.4,12.721635115
☁9⃣,371.046770601,111.066666667,29.9333333333,32.7443973155
richmond va ,inf,54.0,0.0,0.0
raleigh north carolina,inf,146.0,0.0,0.0
地球,-7.8313253012,-13.0,166.0,31.462146568
boston ma usa,inf,71.0,0.0,0.0
on the moon,159.980525803,109.533333333,68.4666666667,23.3034093834
st paul mn,1049.82578397,200.866666667,19.1333333333,27.2271106722
rio de janeiro brasil,45.3651685393,21.5333333333,47.4666666667,35.6349391593
大阪市,-5.37210448497,-7.26666666667,135.266666667,34.355914904
ava,276.799322608,653.8,236.2,92.1449582632
saint paul mn,inf,118.0,0.0,0.0
on your tl,inf,80.0,0.0,0.0
huntsville tx,inf,61.0,0.0,0.0
keller texas,2550.0,102.0,4.0,14.9666295471
jeddah ,90.8885542169,80.4666666667,88.5333333333,59.2507290157
myrtle beach,610.132890365,244.866666667,40.1333333333,39.8193699375
kansas city ks,inf,88.0,0.0,0.0
underground,inf,61.0,0.0,0.0
tuscaloosa al,392.764109986,542.8,138.2,119.68246878
columbia,679.149159664,1724.13333333,253.866666667,76.5139348238
bali,-9.37098844673,-73.0,779.0,209.100294915
dover de,inf,56.0,0.0,0.0
floridaaa,inf,53.0,0.0,0.0
chino hills,inf,74.0,0.0,0.0
catch me if you can,inf,58.0,0.0,0.0
127001,inf,53.0,0.0,0.0
phx,inf,57.0,0.0,0.0
kitchener ontario,inf,51.0,0.0,0.0
asheville nc,inf,162.0,0.0,0.0
new york,327.342732358,17088.6,5220.4,769.764795246
idris,542.857142857,50.6666666667,9.33333333333,24.5917782105
valledupar,-11.2776025237,-9.53333333333,84.5333333333,64.9470211446
evanston il,inf,81.0,0.0,0.0
salem or,inf,136.0,0.0,0.0
chattanooga,513.888888889,370.0,72.0,21.5715862498
philadelphia pennsylvania,4076.47058824,138.6,3.4,12.721635115
harrisburg,733.035714286,273.666666667,37.3333333333,31.2722809458
indonesia,-24.9799938443,-4058.0,16245.0,4811.79006192
abilene tx,inf,70.0,0.0,0.0
grand rapids,371.299093656,491.6,132.4,55.27603459
omaha nebraska,270.807453416,290.666666667,107.333333333,24.5456490827
denpasar,-0.325398184621,-1.26666666667,389.266666667,126.717253057
brampton on,252.542372881,149.0,59.0,51.3277053192
top of the world,300.909090909,220.666666667,73.3333333333,10.0906997885
oregon ,inf,58.0,0.0,0.0
mesquite tx,1372.72727273,50.3333333333,3.66666666667,13.7194104182
ny,412.146302251,17090.3333333,4146.66666667,593.251005524
wouldn't you like to know,inf,133.0,0.0,0.0
savannah,892.957746479,464.933333333,52.0666666667,33.195314261
joplin mo,inf,73.0,0.0,0.0
izmir,96.6463414634,42.2666666667,43.7333333333,27.0048555305
around the world,21.3732516472,246.533333333,1153.46666667,294.348063052
san antonio texas,202.912621359,766.333333333,377.666666667,96.0754333266
new orleans la,298.71541502,403.066666667,134.933333333,30.5078496274
augusta ga,421.658415842,227.133333333,53.8666666667,29.3981102945
1/5 ,675.862068966,52.2666666667,7.73333333333,19.8375625743
the sky,497.945205479,242.333333333,48.6666666667,39.624347173
wichita falls tx,inf,53.0,0.0,0.0
houstonatlantavegas,inf,59.0,0.0,0.0
columbusoh,inf,138.0,0.0,0.0
san juan,752.0,250.666666667,33.3333333333,32.7427684976
aruba,inf,55.0,0.0,0.0
riverside,190.108564536,315.2,165.8,54.8114343302
sierra leone,3958.82352941,134.6,3.4,12.721635115
waterloo iowa,inf,54.0,0.0,0.0
al fondo a la derecha,814.634146341,66.8,8.2,20.925901016
orlando fl ,inf,88.0,0.0,0.0
scottsdale az,1443.60465116,165.533333333,11.4666666667,23.0560669287
marietta ga,423.880597015,189.333333333,44.6666666667,32.9861923976
utah,217.428838077,621.266666667,285.733333333,49.2022583041
fort worth tx,257.637040979,322.733333333,125.266666667,31.9237981589
jupiter ,976.923076923,76.2,7.8,20.0738636042
winston-salem nc,inf,151.0,0.0,0.0
zimbabwe,inf,67.0,0.0,0.0
planeta tierra,87.2964169381,53.6,61.4,25.8374405337
belgium,inf,121.0,0.0,0.0
atlanta georgia,394.031668697,1078.33333333,273.666666667,63.2241163551
cuenca,inf,53.0,0.0,0.0
san jose costa rica,2215.78947368,84.2,3.8,14.2182980697
└a,197.686375321,256.333333333,129.666666667,29.1082271684
england ,246.153846154,46.9333333333,19.0666666667,27.0369294772
lincoln,616.639209226,499.066666667,80.9333333333,45.3526429464
lost,226.335877863,593.0,262.0,96.3687362859
miami,323.603133159,6197.0,1915.0,420.290058571
mentor ohio,inf,65.0,0.0,0.0
exo planet,-23.0953521802,-32.1333333333,139.133333333,64.5320247801
bronx ny,244.391095591,373.266666667,152.733333333,24.9732301119
veracruz méxico,86.2186788155,50.4666666667,58.5333333333,24.4700270172
manhattan ny,inf,115.0,0.0,0.0
burbank ca,1948.07692308,67.5333333333,3.46666666667,12.9710789408
sweet home alabama,1400.0,161.466666667,11.5333333333,29.4999811676
the d,5666.05504587,411.733333333,7.26666666667,18.5489143138
cordoba argentina,12.8021486124,9.53333333333,74.4666666667,9.47886537983
above the rim,1984.74576271,78.0666666667,3.93333333333,14.7171857213
the internet,568.47826087,209.2,36.8,30.8225026023
buford ga,inf,58.0,0.0,0.0
where i need to be,2252.27272727,264.266666667,11.7333333333,23.5385263392
twitter,120.241691843,132.666666667,110.333333333,18.9373235232
christchurch new zealand,inf,67.0,0.0,0.0
searching,153.768844221,122.4,79.6,13.5242991192
dc ,6677.27272727,489.666666667,7.33333333333,18.7106624385
tumblr,inf,76.0,0.0,0.0
morgantown wv,353.538241601,329.733333333,93.2666666667,27.051720011
irving tx,425.0,62.3333333333,14.6666666667,29.8120035482
columbia sc,368.561064087,609.6,165.4,30.7328271831
st paul,1661.32404181,317.866666667,19.1333333333,27.2271106722
manchester england,inf,59.0,0.0,0.0
outcheaville usa,inf,52.0,0.0,0.0
home,247.696879643,777.933333333,314.066666667,73.4097783375
halifax,inf,291.0,0.0,0.0
columbus ohio ,inf,64.0,0.0,0.0
detroitmichigan,inf,80.0,0.0,0.0
mobile alabama,258.841010401,116.133333333,44.8666666667,34.5694791527
glendale az,inf,95.0,0.0,0.0
portland me,inf,55.0,0.0,0.0
on the field,654.934210526,132.733333333,20.2666666667,28.8985966595
wherever i need to be,inf,92.0,0.0,0.0
seattle wa,310.66964873,1574.26666667,506.733333333,65.5880747968
at home,585.483870968,72.6,12.4,25.0434289452
deep in the heart of texas,603.125,180.133333333,29.8666666667,38.2219250634
west palm beach,inf,300.0,0.0,0.0
tampico tamaulipas,371.830985915,52.8,14.2,23.5773902995
nashville tennessee,296.3110668,198.133333333,66.8666666667,28.4508152588
torontoontario,1782.35294118,60.6,3.4,12.721635115
manhattan new york,1143.90243902,125.066666667,10.9333333333,21.8676829032
monterrey nuevo león méxico,690.178571429,51.5333333333,7.46666666667,19.0503426624
somewhere you're not ,inf,69.0,0.0,0.0
stone mountain ga,inf,83.0,0.0,0.0
magic city,inf,58.0,0.0,0.0
los angeles ca ,571.195652174,210.2,36.8,30.5465764585
hollywood fl,2841.17647059,96.6,3.4,12.721635115
at the top,2096.42857143,78.2666666667,3.73333333333,13.968854244
slut,inf,100.0,0.0,0.0
trinidad and tobago,278.419452888,122.133333333,43.8666666667,32.1265553017
knoxvilletn,inf,81.0,0.0,0.0
in my own world ,634.455958549,163.266666667,25.7333333333,32.3387624308
palmdale,1840.47619048,154.6,8.4,31.4299220489
hoboken nj,inf,99.0,0.0,0.0
moreno valley ca,inf,65.0,0.0,0.0
panem,211.162790698,151.333333333,71.6666666667,23.6380108206
frisco texas,2950.0,118.0,4.0,14.9666295471
staten island,239.315949881,471.133333333,196.866666667,77.3260341383
universe,1460.60606061,289.2,19.8,36.5553461662
fort worth,243.41782502,793.866666667,326.133333333,86.9588919484
oakland california,inf,97.0,0.0,0.0
caracas venezuela,81.3009380286,352.466666667,433.533333333,79.551967641
السعوديه,8.89292196007,6.53333333333,73.4666666667,30.7091010759
saginaw michigan,inf,68.0,0.0,0.0
iphone: 00000000000000,368.645016797,219.466666667,59.5333333333,25.700497185
houstatlantavegas ,357.559681698,89.8666666667,25.1333333333,31.5147937043
beaverton or,inf,52.0,0.0,0.0
jacksonville nc,inf,90.0,0.0,0.0
greensboro,579.6875,1014.06666667,174.933333333,53.4670822926
tallahasseefl,inf,65.0,0.0,0.0
t-town,inf,83.0,0.0,0.0
conway,inf,387.0,0.0,0.0
九州,12.8712871287,8.66666666667,67.3333333333,9.49151668011
washington,539.704638972,6383.26666667,1182.73333333,203.662618618
montreal qc,515.189873418,135.666666667,26.3333333333,28.4292494136
長野県,-1.82868142445,-1.26666666667,69.2666666667,24.6372797921
state college pa,1276.953125,217.933333333,17.0666666667,28.697193049
kuala lumpur malaysia,27.3946360153,85.8,313.2,32.9346828333
maracaibo-venezuela,405.617977528,48.1333333333,11.8666666667,23.9022081732
district 12,225.092056812,285.266666667,126.733333333,25.8339999914
district 13,1614.28571429,60.2666666667,3.73333333333,13.968854244
worcester ma,371.93877551,145.8,39.2,34.4870990372
where the sidewalk ends,inf,58.0,0.0,0.0
petaling jaya,9.64581763376,8.53333333333,88.4666666667,15.7981714835
atlanta ga ,6050.0,242.0,4.0,14.9666295471
mississippi,380.604764814,830.733333333,218.266666667,39.6139145026
south dakota,265.898058252,146.066666667,54.9333333333,22.4513300769
makati philippines,122.65625,31.4,25.6,32.0287370966
normal il,inf,80.0,0.0,0.0
in the cut,231.145584726,129.133333333,55.8666666667,31.193731564
埼玉県さいたま市,616.216216216,45.6,7.4,18.8672555856
orange ca,inf,60.0,0.0,0.0
pa,135.230153811,16001.3333333,11832.6666667,1393.40703154
auckland nz,858.860759494,90.4666666667,10.5333333333,21.0930214895
samarinda,-20.1021524991,-36.7333333333,182.733333333,38.4421065442
kuwait ,64.5529486367,67.8666666667,105.133333333,58.3333714286
santa barbara ca,inf,111.0,0.0,0.0
jacksonms,inf,74.0,0.0,0.0
nederland,95.7585644372,39.1333333333,40.8666666667,29.2913335685
san luis potosi,113.513513514,42.0,37.0,35.1909079167
brasil ,-41.2667946257,-71.6666666667,173.666666667,70.954132289
campeche méxico,290.0,58.0,20.0,28.3007655962
working at the pyramid,inf,55.0,0.0,0.0
saudi arabia,30.0948381959,277.133333333,920.866666667,361.057126905
chasing my dreams ,inf,76.0,0.0,0.0
valdosta ga,1327.27272727,146.0,11.0,22.0212019048
memphis,332.826362484,1575.6,473.4,89.9146261739
outchea,inf,127.0,0.0,0.0
places,inf,84.0,0.0,0.0
a galaxy far far away,inf,180.0,0.0,0.0
virginia usa,inf,149.0,0.0,0.0
va ,1633.10810811,483.4,29.6,38.8171783278
left coast,inf,55.0,0.0,0.0
滋賀県,-26.7175572519,-23.3333333333,87.3333333333,12.0480519403
milwaukeewi,532.587859425,111.133333333,20.8666666667,29.9841439579
cleveland ,450.912689686,1366.86666667,303.133333333,51.8650385349
oxford ms,1138.67595819,217.866666667,19.1333333333,27.2393506204
where you want to be,6287.09677419,259.866666667,4.13333333333,15.4655171987
venezuela ,44.4404069767,163.066666667,366.933333333,39.4182135003
dmv,372.446555819,1568.0,421.0,83.8228290304
the dirty south,inf,84.0,0.0,0.0
gaithersburg md,inf,61.0,0.0,0.0
fredericksburg va,inf,116.0,0.0,0.0
torontocanada,977.669902913,67.1333333333,6.86666666667,17.5075856575
narnia,102.909914619,1181.2,1147.8,271.457596443
manassas va,inf,70.0,0.0,0.0
universal,inf,78.0,0.0,0.0
kingston,348.93111639,391.733333333,112.266666667,21.1391159281
thugz mansion,inf,58.0,0.0,0.0
barcelona,64.9423588531,146.466666667,225.533333333,46.2455283124
paraguay,1.89214758751,6.66666666667,352.333333333,165.263695012
ina,102.573793133,6387.13333333,6226.86666667,899.752326415
d(m)v,312.629757785,361.4,115.6,29.0489242486
greenville sc,430.259365994,298.6,69.4,38.971442536
the pyramid,inf,121.0,0.0,0.0
anderson sc,inf,81.0,0.0,0.0
chasing my dreams,426.159334126,238.933333333,56.0666666667,24.9197824139
fargo nd,809.407665505,154.866666667,19.1333333333,27.3736288343
high point nc,inf,82.0,0.0,0.0
illinois,274.031436794,2475.6,903.4,266.632031084
don't worry about it,inf,79.0,0.0,0.0
milwaukee wi,335.724652706,1079.46666667,321.533333333,60.5792777184
rep dom,72.3285978999,78.0666666667,107.933333333,36.4297802476
pdx,inf,119.0,0.0,0.0
my own world ,894.343891403,263.533333333,29.4666666667,32.3849073215
usa ,245.78313253,204.0,83.0,14.8323969742
k-town,632.142857143,70.8,11.2,22.4564764229
المملكة العربية السعودية,12.8680479826,7.86666666667,61.1333333333,26.8548361049
sesame street,inf,77.0,0.0,0.0
padang indonesia,-25.1207729469,-20.8,82.8,29.6495081466
barranquilla ,11.1559573781,46.0666666667,412.933333333,255.182148453
kc mo,inf,51.0,0.0,0.0
palembang,-30.1999626238,-215.466666667,713.466666667,228.282826531
republic of texas,inf,51.0,0.0,0.0
méxico df,52.0283448186,533.533333333,1025.46666667,219.08502662
福岡市,8.87096774194,5.13333333333,57.8666666667,40.8017428822
austintexas,1456.60377358,51.4666666667,3.53333333333,13.2205227666
bay area,361.242299795,1407.4,389.6,76.9647538379
ft lauderdale,inf,124.0,0.0,0.0
orlando fl,350.243704305,1724.6,492.4,63.3411924948
makati city,70.7920792079,57.2,80.8,31.4604513636
東京都,11.6209641751,210.2,1808.8,190.347121509
aurora co,388.940628638,222.733333333,57.2666666667,55.5703358117
plano texas,1335.58282209,145.133333333,10.8666666667,21.7527520609
yogyakarta indonesia,-13.3983675095,-44.8666666667,334.866666667,70.9063858588
twin cities mn,inf,75.0,0.0,0.0
